regions,indicators,stations,season,Unit,Date,Value
Muscat,Average Humidity,Total,Total,%,2013M7,78
Muscat,Average Humidity,Total,Total,%,2013M8,75
Muscat,Average Humidity,Total,Total,%,2013M9,71.1
Muscat,Average Humidity,Total,Total,%,2013M10,58.4
Muscat,Average Humidity,Total,Total,%,2013M11,65
Muscat,Average Humidity,Total,Total,%,2013M12,58.9
Muscat,Average Humidity,Total,Total,%,2014M1,62.1
Muscat,Average Humidity,Total,Total,%,2014M2,59.3
Muscat,Average Humidity,Total,Total,%,2014M3,63.2
Muscat,Average Humidity,Total,Total,%,2014M4,46.3
Muscat,Average Humidity,Total,Total,%,2014M5,36.9
Muscat,Average Humidity,Total,Total,%,2014M6,40.6
Muscat,Average Humidity,Total,Total,%,2014M7,61.3
Muscat,Average Humidity,Total,Total,%,2014M8,66.4
Muscat,Average Humidity,Total,Total,%,2014M9,60.8
Muscat,Average Humidity,Total,Total,%,2014M10,52.9
Muscat,Average Humidity,Total,Total,%,2014M11,55.2
Muscat,Average Humidity,Total,Total,%,2014M12,58.7
Muscat,Average Humidity,Total,Total,%,2015M1,55.6
Muscat,Average Humidity,Total,Total,%,2015M2,48.98
Muscat,Average Humidity,Total,Total,%,2015M3,52.08
Muscat,Average Humidity,Total,Total,%,2015M4,36.33
Muscat,Average Humidity,Total,Total,%,2015M5,30.9
Muscat,Average Humidity,Total,Total,%,2015M6,48.27
Muscat,Average Humidity,Total,Total,%,2015M7,52.15
Muscat,Average Humidity,Total,Total,%,2015M8,52.97
Muscat,Average Humidity,Total,Total,%,2015M9,53.55
Muscat,Average Humidity,Total,Total,%,2015M10,53.78
Muscat,Average Humidity,Total,Total,%,2015M11,56.04
Muscat,Average Humidity,Total,Total,%,2015M12,58.13
Muscat,Average Humidity,Total,Total,%,2016M1,61.8
Muscat,Average Humidity,Total,Total,%,2016M2,55.3
Muscat,Average Humidity,Total,Total,%,2016M3,56
Muscat,Average Humidity,Total,Total,%,2016M4,40.2
Muscat,Average Humidity,Total,Total,%,2016M5,36.6
Muscat,Average Humidity,Total,Total,%,2016M6,48.7
Muscat,Average Humidity,Total,Total,%,2016M7,59.5
Muscat,Average Humidity,Total,Total,%,2016M8,49.2
Muscat,Average Humidity,Total,Total,%,2016M9,64.1
Muscat,Average Humidity,Total,Total,%,2016M10,48.3
Muscat,Average Humidity,Total,Total,%,2016M11,56.7
Muscat,Average Humidity,Total,Total,%,2016M12,53.3
Muscat,Average Humidity,Total,Total,%,2017M1,60.3
Muscat,Average Humidity,Total,Total,%,2017M2,62.4
Muscat,Average Humidity,Total,Total,%,2017M3,51.7
Muscat,Average Humidity,Total,Total,%,2017M4,32.3
Muscat,Average Humidity,Total,Total,%,2017M5,30.3
Muscat,Average Humidity,Total,Total,%,2017M6,50
Muscat,Average Humidity,Total,Total,%,2017M7,56.9
Muscat,Average Humidity,Total,Total,%,2017M8,58.6
Muscat,Average Humidity,Total,Total,%,2017M9,55.8
Muscat,Average Humidity,Total,Total,%,2017M10,46.5
Muscat,Average Humidity,Total,Total,%,2017M11,50.3
Muscat,Average Humidity,Total,Total,%,2017M12,56.9
Muscat,Average Humidity,Total,Total,%,2018M1,58.9
Muscat,Average Humidity,Total,Total,%,2018M2,58.3
Muscat,Average Humidity,Total,Total,%,2018M3,48.7
Muscat,Average Humidity,Total,Total,%,2018M4,36.1
Muscat,Average Humidity,Total,Total,%,2018M5,33.7
Muscat,Average Humidity,Total,Total,%,2018M6,38.2
Muscat,Average Humidity,Total,Total,%,2018M7,52.8
Muscat,Average Humidity,Total,Total,%,2018M8,61.6
Muscat,Average Humidity,Total,Total,%,2018M9,65.2
Muscat,Average Humidity,Total,Total,%,2018M10,52.8
Muscat,Average Humidity,Total,Total,%,2018M11,59.1
Muscat,Average Humidity,Total,Total,%,2018M12,54.9
Muscat,Average Humidity,Total,Total,%,2020M1,58.8
Muscat,Average Humidity,Total,Total,%,2020M2,60.6
Muscat,Average Humidity,Total,Total,%,2020M3,54.7
Muscat,Average Humidity,Total,Total,%,2020M4,49.3
Muscat,Average Humidity,Total,Total,%,2020M5,40.2
Muscat,Average Humidity,Total,Total,%,2020M6,56.3
Muscat,Average Humidity,Total,Total,%,2020M7,63.4
Muscat,Average Humidity,Total,Total,%,2020M8,63.7
Muscat,Average Humidity,Total,Total,%,2020M9,48.5
Muscat,Average Humidity,Total,Total,%,2020M10,43.5
Muscat,Average Humidity,Total,Total,%,2020M11,56.2
Muscat,Average Humidity,Total,Total,%,2020M12,55.7
Muscat,Average Rainfall,Total,Total,M. M,2011M1,10.5
Muscat,Average Rainfall,Total,Total,M. M,2011M3,0.3
Muscat,Average Rainfall,Total,Total,M. M,2011M11,42.9
Muscat,Average Rainfall,Total,Total,M. M,2012M1,7.3
Muscat,Average Rainfall,Total,Total,M. M,2012M4,21
Muscat,Average Rainfall,Total,Total,M. M,2012M9,0.9
Muscat,Average Rainfall,Total,Total,M. M,2012M10,13.4
Muscat,Average Rainfall,Total,Total,M. M,2012M11,19
Muscat,Average Rainfall,Total,Total,M. M,2012M12,15
Muscat,Average Rainfall,Total,Total,M. M,2013M1,0
Muscat,Average Rainfall,Total,Total,M. M,2013M2,3.5
Muscat,Average Rainfall,Total,Total,M. M,2013M3,2
Muscat,Average Rainfall,Total,Total,M. M,2013M4,47.5
Muscat,Average Rainfall,Total,Total,M. M,2013M5,6.7
Muscat,Average Rainfall,Total,Total,M. M,2013M6,0
Muscat,Average Rainfall,Total,Total,M. M,2013M7,0
Muscat,Average Rainfall,Total,Total,M. M,2013M8,1.7
Muscat,Average Rainfall,Total,Total,M. M,2013M9,0
Muscat,Average Rainfall,Total,Total,M. M,2013M10,0
Muscat,Average Rainfall,Total,Total,M. M,2013M11,44.8
Muscat,Average Rainfall,Total,Total,M. M,2014M1,11.6
Muscat,Average Rainfall,Total,Total,M. M,2014M2,31.1
Muscat,Average Rainfall,Total,Total,M. M,2014M3,13.3
Muscat,Average Rainfall,Total,Total,M. M,2014M4,1.7
Muscat,Average Rainfall,Total,Total,M. M,2014M5,6.5
Muscat,Average Rainfall,Total,Total,M. M,2014M6,0.2
Muscat,Average Rainfall,Total,Total,M. M,2014M7,3.2
Muscat,Average Rainfall,Total,Total,M. M,2014M8,0
Muscat,Average Rainfall,Total,Total,M. M,2014M9,1.3
Muscat,Average Rainfall,Total,Total,M. M,2014M10,9.1
Muscat,Average Rainfall,Total,Total,M. M,2014M11,9.8
Muscat,Average Rainfall,Total,Total,M. M,2014M12,0.2
Muscat,Average Rainfall,Total,Total,M. M,2015M1,20.04
Muscat,Average Rainfall,Total,Total,M. M,2015M2,1.8
Muscat,Average Rainfall,Total,Total,M. M,2015M3,2.4
Muscat,Average Rainfall,Total,Total,M. M,2015M4,0
Muscat,Average Rainfall,Total,Total,M. M,2015M5,0.4
Muscat,Average Rainfall,Total,Total,M. M,2015M6,1.76
Muscat,Average Rainfall,Total,Total,M. M,2015M7,0.4
Muscat,Average Rainfall,Total,Total,M. M,2015M8,1.8
Muscat,Average Rainfall,Total,Total,M. M,2015M9,19
Muscat,Average Rainfall,Total,Total,M. M,2015M10,2.5
Muscat,Average Rainfall,Total,Total,M. M,2015M11,3.95
Muscat,Average Rainfall,Total,Total,M. M,2015M12,0.3
Muscat,Average Rainfall,Total,Total,M. M,2016M1,1.4
Muscat,Average Rainfall,Total,Total,M. M,2016M2,9.6
Muscat,Average Rainfall,Total,Total,M. M,2016M3,73.2
Muscat,Average Rainfall,Total,Total,M. M,2016M4,12.3
Muscat,Average Rainfall,Total,Total,M. M,2016M5,0
Muscat,Average Rainfall,Total,Total,M. M,2016M6,0
Muscat,Average Rainfall,Total,Total,M. M,2016M7,0
Muscat,Average Rainfall,Total,Total,M. M,2016M8,0.1
Muscat,Average Rainfall,Total,Total,M. M,2016M9,0
Muscat,Average Rainfall,Total,Total,M. M,2016M10,0.7
Muscat,Average Rainfall,Total,Total,M. M,2016M11,0.5
Muscat,Average Rainfall,Total,Total,M. M,2016M12,0
Muscat,Average Rainfall,Total,Total,M. M,2017M1,13.6
Muscat,Average Rainfall,Total,Total,M. M,2017M2,2.8
Muscat,Average Rainfall,Total,Total,M. M,2017M3,4.3
Muscat,Average Rainfall,Total,Total,M. M,2017M4,0
Muscat,Average Rainfall,Total,Total,M. M,2017M5,6.4
Muscat,Average Rainfall,Total,Total,M. M,2017M6,0
Muscat,Average Rainfall,Total,Total,M. M,2017M7,4.2
Muscat,Average Rainfall,Total,Total,M. M,2017M8,0
Muscat,Average Rainfall,Total,Total,M. M,2017M9,0
Muscat,Average Rainfall,Total,Total,M. M,2017M10,0
Muscat,Average Rainfall,Total,Total,M. M,2017M11,0.1
Muscat,Average Rainfall,Total,Total,M. M,2017M12,13.7
Muscat,Average Rainfall,Total,Total,M. M,2018M1,0.1
Muscat,Average Rainfall,Total,Total,M. M,2018M2,0
Muscat,Average Rainfall,Total,Total,M. M,2018M3,0.3
Muscat,Average Rainfall,Total,Total,M. M,2018M4,0.5
Muscat,Average Rainfall,Total,Total,M. M,2018M5,0.2
Muscat,Average Rainfall,Total,Total,M. M,2018M6,0
Muscat,Average Rainfall,Total,Total,M. M,2018M7,0.1
Muscat,Average Rainfall,Total,Total,M. M,2018M8,15.3
Muscat,Average Rainfall,Total,Total,M. M,2018M9,0.1
Muscat,Average Rainfall,Total,Total,M. M,2018M10,13.5
Muscat,Average Rainfall,Total,Total,M. M,2018M11,3
Muscat,Average Rainfall,Total,Total,M. M,2018M12,2
Muscat,Average Rainfall,Total,Total,M. M,2020M1,60.26666667
Muscat,Average Rainfall,Total,Total,M. M,2020M2,0.066666667
Muscat,Average Rainfall,Total,Total,M. M,2020M3,29.73333333
Muscat,Average Rainfall,Total,Total,M. M,2020M4,0.033333333
Muscat,Average Rainfall,Total,Total,M. M,2020M5,0.133333333
Muscat,Average Rainfall,Total,Total,M. M,2020M6,0.1
Muscat,Average Rainfall,Total,Total,M. M,2020M7,0.466666667
Muscat,Average Rainfall,Total,Total,M. M,2020M8,0.033333333
Muscat,Average Rainfall,Total,Total,M. M,2020M9,1.5
Muscat,Average Rainfall,Total,Total,M. M,2020M10,0
Muscat,Average Rainfall,Total,Total,M. M,2020M11,7.9
Muscat,Average Rainfall,Total,Total,M. M,2020M12,0.633333333
Dhofar,Average Temperature,Total,Total,degree celsius,2011M1,21
Dhofar,Average Temperature,Total,Total,degree celsius,2011M2,21.8
Dhofar,Average Temperature,Total,Total,degree celsius,2011M3,24.5
Dhofar,Average Temperature,Total,Total,degree celsius,2011M4,26.4
Dhofar,Average Temperature,Total,Total,degree celsius,2011M5,28.5
Dhofar,Average Temperature,Total,Total,degree celsius,2011M6,27.7
Dhofar,Average Temperature,Total,Total,degree celsius,2011M7,25.7
Dhofar,Average Temperature,Total,Total,degree celsius,2011M8,25.3
Dhofar,Average Temperature,Total,Total,degree celsius,2011M9,27
Dhofar,Average Temperature,Total,Total,degree celsius,2011M10,26.2
Dhofar,Average Temperature,Total,Total,degree celsius,2011M11,24.2
Dhofar,Average Temperature,Total,Total,degree celsius,2011M12,20.7
Dhofar,Average Temperature,Total,Total,degree celsius,2012M1,20.3
Dhofar,Average Temperature,Total,Total,degree celsius,2012M2,21.6
Dhofar,Average Temperature,Total,Total,degree celsius,2012M3,23.7
Dhofar,Average Temperature,Total,Total,degree celsius,2012M4,26.7
Dhofar,Average Temperature,Total,Total,degree celsius,2012M5,27.9
Dhofar,Average Temperature,Total,Total,degree celsius,2012M6,28.7
Dhofar,Average Temperature,Total,Total,degree celsius,2012M7,25.7
Dhofar,Average Temperature,Total,Total,degree celsius,2012M8,25.6
Dhofar,Average Temperature,Total,Total,degree celsius,2012M9,26.7
Dhofar,Average Temperature,Total,Total,degree celsius,2012M10,26.4
Dhofar,Average Temperature,Total,Total,degree celsius,2012M11,24.2
Dhofar,Average Temperature,Total,Total,degree celsius,2012M12,23
Dhofar,Average Temperature,Total,Total,degree celsius,2013M1,22.9
Dhofar,Average Temperature,Total,Total,degree celsius,2013M2,23.5
Dhofar,Average Temperature,Total,Total,degree celsius,2013M3,25.9
Dhofar,Average Temperature,Total,Total,degree celsius,2013M4,28.2
Dhofar,Average Temperature,Total,Total,degree celsius,2013M5,29.8
Dhofar,Average Temperature,Total,Total,degree celsius,2013M6,28.6
Dhofar,Average Temperature,Total,Total,degree celsius,2013M7,25.8
Dhofar,Average Temperature,Total,Total,degree celsius,2013M8,25.6
Dhofar,Average Temperature,Total,Total,degree celsius,2013M9,27.2
Dhofar,Average Temperature,Total,Total,degree celsius,2013M10,27.8
Dhofar,Average Temperature,Total,Total,degree celsius,2013M11,27.2
Dhofar,Average Temperature,Total,Total,degree celsius,2013M12,24.8
Dhofar,Average Temperature,Total,Total,degree celsius,2014M1,19.5
Dhofar,Average Temperature,Total,Total,degree celsius,2014M2,20.9
Dhofar,Average Temperature,Total,Total,degree celsius,2014M3,24
Dhofar,Average Temperature,Total,Total,degree celsius,2014M4,29.5
Dhofar,Average Temperature,Total,Total,degree celsius,2014M5,29.2
Dhofar,Average Temperature,Total,Total,degree celsius,2014M6,29.4
Dhofar,Average Temperature,Total,Total,degree celsius,2014M7,26.8
Dhofar,Average Temperature,Total,Total,degree celsius,2014M8,25.9
Dhofar,Average Temperature,Total,Total,degree celsius,2014M9,26.3
Dhofar,Average Temperature,Total,Total,degree celsius,2014M10,27.1
Dhofar,Average Temperature,Total,Total,degree celsius,2014M11,25.3
Dhofar,Average Temperature,Total,Total,degree celsius,2014M12,22.6
Dhofar,Average Temperature,Total,Total,degree celsius,2015M1,20.87
Dhofar,Average Temperature,Total,Total,degree celsius,2015M2,22.56
Dhofar,Average Temperature,Total,Total,degree celsius,2015M3,25.23
Dhofar,Average Temperature,Total,Total,degree celsius,2015M4,28.34
Dhofar,Average Temperature,Total,Total,degree celsius,2015M5,30.12
Dhofar,Average Temperature,Total,Total,degree celsius,2015M6,30.97
Dhofar,Average Temperature,Total,Total,degree celsius,2015M7,27.8
Dhofar,Average Temperature,Total,Total,degree celsius,2015M8,27.58
Dhofar,Average Temperature,Total,Total,degree celsius,2015M9,28.31
Dhofar,Average Temperature,Total,Total,degree celsius,2015M10,28.29
Dhofar,Average Temperature,Total,Total,degree celsius,2015M11,25.96
Dhofar,Average Temperature,Total,Total,degree celsius,2015M12,22.37
Dhofar,Average Temperature,Total,Total,degree celsius,2016M1,21.9
Dhofar,Average Temperature,Total,Total,degree celsius,2016M2,22.2
Dhofar,Average Temperature,Total,Total,degree celsius,2016M3,26.3
Dhofar,Average Temperature,Total,Total,degree celsius,2016M4,28.1
Dhofar,Average Temperature,Total,Total,degree celsius,2016M5,30.2
Dhofar,Average Temperature,Total,Total,degree celsius,2016M6,29.4
Dhofar,Average Temperature,Total,Total,degree celsius,2016M7,27
Dhofar,Average Temperature,Total,Total,degree celsius,2016M8,26.6
Dhofar,Average Temperature,Total,Total,degree celsius,2016M9,26.8
Dhofar,Average Temperature,Total,Total,degree celsius,2016M10,25.9
Dhofar,Average Temperature,Total,Total,degree celsius,2016M11,24.4
Dhofar,Average Temperature,Total,Total,degree celsius,2016M12,23.5
Dhofar,Average Temperature,Total,Total,degree celsius,2017M1,21.9
Dhofar,Average Temperature,Total,Total,degree celsius,2017M2,21.8
Dhofar,Average Temperature,Total,Total,degree celsius,2017M3,25.5
Dhofar,Average Temperature,Total,Total,degree celsius,2017M4,28
